ema_short,ema_long,sl_atr,tp_atr,spread_atr_limit,train_trades,train_win_rate,train_return,train_pf,train_max_dd,test_trades,test_win_rate,test_return,test_pf,test_max_dd
20,50,2.0,3.0,0.6,130,30.0,-26.847324388932424,0.6366824052365223,27.641900549980726,33,21.21212121212121,-12.508987854103582,0.4062526489909386,14.769004552036966
50,100,1.0,1.5,0.25,15,26.666666666666668,-4.644729574158357,0.5281285186740183,6.027688482473641,1,0.0,-0.9854389076127679,0.0,0.98543890761277
50,100,1.0,1.5,0.4,146,24.65753424657534,-34.6037939264383,0.4896258175278316,36.55759960664641,10,10.0,-5.235549786655758,0.15434390356283514,5.235549786655756
50,100,1.0,1.5,0.6,223,22.421524663677133,-51.429427583611,0.44147818855693904,52.27649210204807,28,10.714285714285714,-13.846975951545426,0.20118493269859894,13.84697595154543
50,100,1.0,2.0,0.25,16,25.0,-3.8875599736613142,0.6406684344822885,5.731505184748185,1,0.0,-0.9854389076127679,0.0,0.98543890761277
50,100,1.0,2.0,0.4,144,20.833333333333336,-33.599672011734995,0.5214821747185819,36.2166062390892,10,10.0,-4.917029766214687,0.20579187141709823,4.917029766214691
50,100,1.0,2.0,0.6,227,19.823788546255507,-49.7143442744712,0.4895092662713787,50.94940640084468,27,7.4074074074074066,-15.117189580298362,0.12483022950057805,15.117189580298362
50,100,1.0,3.0,0.25,16,18.75,-3.7955548600549838,0.6745442911711803,7.098582044360721,1,0.0,-0.9854389076127679,0.0,0.98543890761277
50,100,1.0,3.0,0.4,134,14.17910447761194,-34.63136179457788,0.5042538162238223,39.5202209017628,10,10.0,-4.2799897253326336,0.3086878071256244,4.279989725332634
50,100,1.0,3.0,0.6,219,14.15525114155251,-51.156589816457945,0.49110167709474445,53.125273299645016,27,7.4074074074074066,-14.526680793425806,0.18210468064517213,14.526680793425802
50,100,1.5,1.5,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,1.5,1.5,0.4,59,35.59322033898305,-15.10725705290099,0.5309293259985801,17.240374496330553,6,50.0,0.13608647368641424,1.0506633292121759,1.7240904715092258
50,100,1.5,1.5,0.6,159,38.36477987421384,-26.142383369751677,0.6237785421008988,26.911049024363276,22,36.36363636363637,-3.9750036780427545,0.5977276953737775,3.975003678042758
50,100,1.5,2.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,1.5,2.0,0.4,55,29.09090909090909,-15.9662935599877,0.5174513867413385,18.527632249019618,6,50.0,1.0768133579207806,1.400884438949603,1.7240904715092258
50,100,1.5,2.0,0.6,156,33.33333333333333,-25.291534309690377,0.6566703128364955,26.4995895797812,22,22.727272727272727,-7.052521009079005,0.41444081402816557,7.05252100907901
50,100,1.5,3.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,1.5,3.0,0.4,37,13.513513513513514,-19.249772483464646,0.2877289228006758,22.46409264422845,7,42.857142857142854,1.957179876809767,1.5308065021240176,1.9216124118949014
50,100,1.5,3.0,0.6,165,27.27272727272727,-23.189401315897783,0.7309142356457536,25.628140124590498,22,18.181818181818183,-6.168092914099377,0.5097371494482457,6.16809291409938
50,100,2.0,1.5,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,2.0,1.5,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,2.0,1.5,0.6,107,53.271028037383175,-5.776176266041033,0.8667494076119365,11.879742781618747,14,50.0,-1.5540900888078246,0.7385516308716692,2.7248286829544077
50,100,2.0,2.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,2.0,2.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,2.0,2.0,0.6,114,49.122807017543856,-1.0592603225733521,0.9791100178391232,9.712586734205374,14,42.857142857142854,-1.7022126321776687,0.7478164578805367,2.6047764197474033
50,100,2.0,3.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,2.0,3.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,100,2.0,3.0,0.6,122,40.16393442622951,0.08748488653489428,1.0013396901700284,14.828040474534157,13,23.076923076923077,-4.752560371327686,0.4335558633271482,4.75256037132769
