direction,signal_time,entry_time,exit_time,lot_size,entry_price,exit_price,stop_loss,take_profit,exit_reason,risk_amount_jpy,profit_jpy,balance_jpy,spread_atr_ratio,rsi14,ema20,ema50,atr14
BUY,2026-01-30 10:50:00,2026-01-30 10:55:00,2026-01-30 11:15:00,0.01,153.91400000000002,154.05355516182465,153.82096322545024,154.05355516182465,TAKE_PROFIT,93.03677454976163,139.55516182463157,9707.418590159317,0.21496875936195323,53.75178792437664,153.844552213834,153.8436552360554,0.09303677454976163
SELL,2026-01-30 14:05:00,2026-01-30 14:10:00,2026-01-30 14:35:00,0.01,153.834,153.92127279456398,153.92127279456398,153.70309080815406,STOP_LOSS,87.27279456396501,-87.27279456397241,9620.145795595345,0.2291664899688913,34.16210482349619,154.00108721140313,154.00628138756514,0.08727279456396501
SELL,2026-02-02 05:15:00,2026-02-02 05:20:00,2026-02-02 05:35:00,0.01,154.983,155.0785289550956,155.0785289550956,154.83970656735661,STOP_LOSS,95.52895509559528,-95.52895509560244,9524.616840499742,0.20936060673945522,44.77815196070946,155.04030076314112,155.041623278175,0.09552895509559528
SELL,2026-02-02 11:55:00,2026-02-02 12:00:00,2026-02-02 12:15:00,0.01,154.765,154.85069110232436,154.85069110232436,154.6364633465134,STOP_LOSS,85.69110232437758,-85.69110232437538,9438.925738175367,0.23339646074678116,41.63758433164778,154.84945625783436,154.8540825159075,0.08569110232437759
BUY,2026-02-09 10:35:00,2026-02-09 10:40:00,2026-02-09 10:40:00,0.01,156.77,156.67956515720283,156.67956515720283,156.9056522641958,STOP_LOSS,90.43484279719038,-90.43484279717973,9348.490895378187,0.22115369896591844,64.87504199340023,156.59652829390902,156.5904941140916,0.09043484279719038
BUY,2026-02-09 12:00:00,2026-02-09 12:05:00,2026-02-09 12:10:00,0.01,156.65699999999998,156.568829900026,156.568829900026,156.78925514996095,STOP_LOSS,88.17009997397506,-88.17009997397918,9260.320795404208,0.23817598036294071,55.08289777070894,156.5869970298424,156.58658350099097,0.08817009997397506
BUY,2026-02-20 10:00:00,2026-02-20 10:05:00,2026-02-20 10:10:00,0.01,155.485,155.39928262519084,155.39928262519084,155.61357606221378,STOP_LOSS,85.71737480918313,-85.71737480917818,9174.603420595031,0.2333249244336091,69.4003085201935,155.18880045930422,155.17324311336654,0.08571737480918312
SELL,2026-02-24 18:05:00,2026-02-24 18:10:00,2026-02-24 18:45:00,0.01,155.784,155.65297923989596,155.87134717340268,155.65297923989596,TAKE_PROFIT,87.34717340268534,131.02076010403607,9305.624180699067,0.22897134756492457,38.59599025375082,155.9212227522924,155.92552787897523,0.08734717340268534
BUY,2026-02-26 08:35:00,2026-02-26 08:40:00,2026-02-26 08:45:00,0.01,155.99900000000002,155.91685666610977,155.91685666610977,156.12221500083544,STOP_LOSS,82.14333389026915,-82.14333389025796,9223.480846808809,0.24347684775878373,51.89554956455229,155.96090788072297,155.9601972813556,0.08214333389026915
BUY,2026-02-26 08:50:00,2026-02-26 08:55:00,2026-02-26 10:05:00,0.01,156.04000000000002,156.1627687160479,155.95815418930144,156.1627687160479,TAKE_PROFIT,81.8458106985885,122.76871604788653,9346.249562856696,0.2443619267656044,55.12051346865041,155.9643095944152,155.96157777894024,0.08184581069858848
BUY,2026-02-26 18:05:00,2026-02-26 18:10:00,2026-02-26 19:25:00,0.01,156.186,156.31251179188988,156.10165880540677,156.31251179188988,TAKE_PROFIT,84.34119459324384,126.51179188986816,9472.761354746564,0.23713204557339887,60.960565994457646,156.0388290544938,156.03543750447503,0.08434119459324384
BUY,2026-03-03 09:55:00,2026-03-03 10:00:00,2026-03-03 10:10:00,0.01,157.422,157.3413418502355,157.3413418502355,157.54298722464674,STOP_LOSS,80.65814976449919,-80.6581497645027,9392.103204982062,0.24796006427614317,58.22344800938238,157.3185601874275,157.3160039523931,0.08065814976449918
BUY,2026-03-03 19:40:00,2026-03-03 19:45:00,2026-03-03 19:45:00,0.01,157.842,157.76093533397557,157.76093533397557,157.96359699903667,STOP_LOSS,81.06466602443878,-81.06466602444584,9311.038538957617,0.246716615028927,54.88362771972275,157.76647601880143,157.76461851549757,0.08106466602443878
BUY,2026-03-04 03:25:00,2026-03-04 03:30:00,2026-03-04 03:45:00,0.01,157.71300000000002,157.6302336055175,157.6302336055175,157.8371495917238,STOP_LOSS,82.76639448251761,-82.76639448251899,9228.272144475097,0.24164396824395332,54.33133669987305,157.63324141688133,157.63247007223794,0.08276639448251762
BUY,2026-03-04 16:05:00,2026-03-04 16:10:00,2026-03-04 16:15:00,0.01,157.38400000000001,157.30126551706283,157.30126551706283,157.50810172440578,STOP_LOSS,82.73448293717192,-82.73448293718388,9145.537661537914,0.24173717282052617,62.5951399724744,157.22224583728234,157.21516012325853,0.08273448293717191
SELL,2026-03-04 17:55:00,2026-03-04 18:00:00,2026-03-04 18:10:00,0.01,157.109,156.98732186186928,157.1901187587538,156.98732186186928,TAKE_PROFIT,81.11875875381564,121.6781381307328,9267.215799668647,0.2465520960533589,37.41677311590124,157.23046448745987,157.23469134590374,0.08111875875381563
SELL,2026-03-06 20:10:00,2026-03-06 20:15:00,2026-03-06 20:25:00,0.01,157.639,157.72022352052974,157.72022352052974,157.51716471920543,STOP_LOSS,81.22352052972748,-81.2235205297327,9185.992279138914,0.24623409413385475,44.619496137899525,157.70840855590473,157.70991167521257,0.08122352052972748
SELL,2026-03-09 07:35:00,2026-03-09 07:40:00,2026-03-09 08:20:00,0.01,158.444,158.52430514806903,158.52430514806903,158.32354227789642,STOP_LOSS,80.30514806903906,-80.30514806904421,9105.68713106987,0.24905003578109114,31.473114346466346,158.6350938714056,158.6454960980954,0.08030514806903906
BUY,2026-03-09 10:50:00,2026-03-09 10:55:00,2026-03-09 11:05:00,0.01,158.61700000000002,158.53357260918878,158.53357260918878,158.74214108621686,STOP_LOSS,83.42739081122598,-83.42739081123796,9022.259740258633,0.23972941986469032,54.559314418874756,158.5545904326417,158.55378727852857,0.08342739081122598
SELL,2026-03-09 11:10:00,2026-03-09 11:15:00,2026-03-09 11:30:00,0.01,158.46,158.33536409143485,158.54309060571012,158.33536409143485,TAKE_PROFIT,83.09060571010498,124.63590856515339,9146.895648823785,0.24070109766413364,41.98429247638274,158.54904160186496,158.55201585836826,0.08309060571010499
BUY,2026-03-10 20:20:00,2026-03-10 20:25:00,2026-03-10 20:25:00,0.01,157.935,157.8486273873723,157.8486273873723,158.06455891894154,STOP_LOSS,86.37261262770312,-86.3726126277129,9060.523036196073,0.2315548805523246,69.02407560695451,157.66547352236302,157.65183189224214,0.08637261262770313
SELL,2026-03-19 09:05:00,2026-03-19 09:10:00,2026-03-19 09:25:00,0.01,159.476,159.34565344864353,159.5628977009043,159.34565344864353,TAKE_PROFIT,86.89770090431391,130.34655135646744,9190.86958755254,0.23015568642054984,32.69105019549946,159.66381421307938,159.66619845398952,0.0868977009043139
SELL,2026-03-23 10:45:00,2026-03-23 10:50:00,2026-03-23 10:55:00,0.01,159.351,159.43193693590845,159.43193693590845,159.2295945961373,STOP_LOSS,80.93693590846658,-80.93693590845419,9109.932651644087,0.2471059693020558,39.32428303546714,159.47992241163388,159.48153758868781,0.08093693590846658
SELL,2026-03-24 16:50:00,2026-03-24 16:55:00,2026-03-24 16:55:00,0.01,158.645,158.72789851529632,158.72789851529632,158.52065222705554,STOP_LOSS,82.89851529631726,-82.8985152963071,9027.03413634778,0.24125884436543696,39.832830212091984,158.74107607426785,158.74154724901553,0.08289851529631725
BUY,2026-04-08 17:40:00,2026-04-08 17:45:00,2026-04-08 17:45:00,0.01,158.29500000000002,158.2137549822749,158.2137549822749,158.41686752658765,STOP_LOSS,81.24501772509652,-81.24501772510939,8945.78911862267,0.2461689413087791,55.862146754204105,158.22220810413964,158.22167667411486,0.08124501772509651
BUY,2026-05-14 17:50:00,2026-05-14 17:55:00,2026-05-14 18:00:00,0.01,158.041,158.16868543528278,157.95587637647813,158.16868543528278,TAKE_PROFIT,85.12362352185227,127.68543528278542,9073.474553905455,0.2467000244016756,60.45148988490945,157.91108923107817,157.9103093177902,0.08512362352185227
